job_position,job_link,company_name,company_profile,job_location,job_posting_date
Data Scientist,https://sa.linkedin.com/jobs/view/data-scientist-at-matchatalent-3639381396?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=ro1FnvZ6LZOI9LyzVGleEg%3D%3D&position=1&pageNum=1&trk=public_jobs_jserp-result_search-card,MatchaTalent,https://id.linkedin.com/company/matchatalent?trk=public_jobs_jserp-result_job-search-card-subtitle,"Dhahran, Eastern, Saudi Arabia",2023-06-18
Data Science Specialist,https://sa.linkedin.com/jobs/view/data-science-specialist-at-halian-3608956611?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=yDs6fBV%2B0kZBpUFjH3Wi4A%3D%3D&position=2&pageNum=1&trk=public_jobs_jserp-result_search-card,Halian,https://uk.linkedin.com/company/halian?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",2023-05-16
,https://sa.linkedin.com/jobs/view/data-scientist-job-recruitment-at-garima-interprises-3645495537?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=UktubiOBzx4KuJ4J78Ex7A%3D%3D&position=3&pageNum=1&trk=public_jobs_jserp-result_search-card,Garima Interprises,,Saudi Arabia,2023-06-02
,https://sa.linkedin.com/jobs/view/data-scientist-job-recruitment-at-garima-interprises-3626306377?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=VDZp5e69qg%2F13qEkL7fSXg%3D%3D&position=4&pageNum=1&trk=public_jobs_jserp-result_search-card,Garima Interprises,,Saudi Arabia,2023-05-11
Data Scientist Engineer,https://sa.linkedin.com/jobs/view/data-scientist-engineer-at-energy-jobline-3651133334?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=IhL27QbWKBGWXZvEBAD88Q%3D%3D&position=5&pageNum=1&trk=public_jobs_jserp-result_search-card,Energy Jobline,https://uk.linkedin.com/company/energy-jobline?trk=public_jobs_jserp-result_job-search-card-subtitle,Makkah Region,2023-06-07
Data Analyst / Data Scientist,https://sa.linkedin.com/jobs/view/data-analyst-data-scientist-at-nybl-3598185449?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=%2FwyiIgNluIRKe4%2Fq18PKlA%3D%3D&position=6&pageNum=1&trk=public_jobs_jserp-result_search-card,nybl,https://ae.linkedin.com/company/nybl?trk=public_jobs_jserp-result_job-search-card-subtitle,"Al Khobar, Eastern, Saudi Arabia",2023-05-05
"JUNIOR DEVELOPER - Dubai, UAE",https://sa.linkedin.com/jobs/view/junior-developer-dubai-uae-at-cobblestone-energy-3642306208?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=%2FspVUI4htGLRLop2DFtCvw%3D%3D&position=7&pageNum=1&trk=public_jobs_jserp-result_search-card,Cobblestone Energy,https://ae.linkedin.com/company/cobblestone-energy?trk=public_jobs_jserp-result_job-search-card-subtitle,"Riyadh, Riyadh, Saudi Arabia",2023-06-22
,https://sa.linkedin.com/jobs/view/hiring-for-data-scientist-at-niharika-enterprises-3646364989?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=k0GlmIIFpu%2BK9NNIrJKEUw%3D%3D&position=8&pageNum=1&trk=public_jobs_jserp-result_search-card,Niharika Enterprises,,Saudi Arabia,2023-06-03
,https://sa.linkedin.com/jobs/view/data-scientist-job-recruitment-at-garima-interprises-3650667632?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=Bg9y1CvxMv2XlTMjAU1KHA%3D%3D&position=9&pageNum=1&trk=public_jobs_jserp-result_search-card,Garima Interprises,,Saudi Arabia,2023-06-06
,https://sa.linkedin.com/jobs/view/data-scientist-nlp-expert-artificial-intelligence-data-analytics-at-armaco-chemical-processes-systems-pvt-ltd-3614308774?refId=4U11OFT33Yf5gsnfS%2BUmVw%3D%3D&trackingId=%2BXY1QbzyO30EeIoagN5dKA%3D%3D&position=10&pageNum=1&trk=public_jobs_jserp-result_search-card,Armaco Chemical Processes Systems Pvt Ltd,,"Jeddah, Makkah, Saudi Arabia",2023-05-02
