job_position,company_name,job_country,job_posting_date,Employment_type,Seniority_level,job_description
Data Scientist,MatchaTalent,Saudi Arabia,2023-06-18,Full-time,Entry level,"This role required candidate to permanently relocate at Dhahran, Saudi Arabia. About the CompanyThis company engages in the exploration, production, transportation, and sale of crude oil and natural gas. It operates through the following segments: Upstream, Downstream, and Corporate. The Upstream segment includes crude oil, natural gas and natural gas liquids exploration, field development, and production. The Downstream segment focuses on refining, logistics, power generation, and the marketing of crude oil, petroleum and petrochemical products, and related services to international and domestic customers. The Corporate segment offers supporting services including human resources, finance, and information technology. The company was founded on May 29, 1933 and is headquartered in Dhahran, Saudi Arabia. Job Summary We are seeking one (1) Data Scientist who will be responsible for the following roles and functions. The Data Scientist will collect large amounts of data using analytical, statistical, and programming skills. They will use this data to develop solutions that are tailored to meet the unique needs of the organization. The Data Scientist will also utilize statistical and analytical methods, along with AI tools, to automate specific processes within the organization. Additionally, they will assist the organization in analyzing trends in order to make better-informed decisions. Responsibilities:  Design and develop a data warehouse. Use appropriate tools to pull, merge, and analyze data. Analyze raw data using statistical and mathematical techniques and computing. Design predictive data models. Address data analytics challenges, such as collecting large volumes of data from varying sources, cleaning and interpreting data, creating solutions to overcome challenges, and communicating with interested parties. Automate and integrate processes. Develop and maintain databases and data systems, reorganizing data in a readable format. Build data visualizations and perform analysis to assess the quality and meaning of data. Analyze local, national, and global trends that impact both the organization and the industry. Prepare reports for management stating trends, patterns, and predictions using relevant data. Troubleshoot the reporting database environment and reports. Requirements:  This role required candidate to permanently relocate at Dhahran, Saudi Arabia. Bachelor's Degree in Data Science or Computer Science (Master's Degree is preferred). Minimum Years of Experience: 3 in relevant field. Experience with common data science toolkits such as R, SQL, and Python; familiarity with AI tools is an asset. Experience with data visualization tools, such as Power BI, Tableau, Qlik Sense, etc. In-depth knowledge of mathematics and statistics. A high level of accuracy and attention to detail. Excellent interpersonal skills. Excellent written and verbal communication skills and presentation skills. Strong time management skills. Dedication to high-quality work output."
Data Science Specialist,Halian,Saudi Arabia,2023-05-16,Full-time,Entry level,"Our ClientWe are partnered with one of the biggest players in the Financial Services sector in Saudi Arabia.On their behalf we are looking to hire a Data Scientist Specialist.Your ResponsibilitiesModelling & Data Science ManagementWork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions. Work with different stakeholders to define their Business and strategy requirements and translate into analytical and technical requirements. Mine and analyse data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies. Assess the effectiveness and accuracy of new data sources and data gathering techniques. Develop custom data models and algorithms to apply to data sets. Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes. Develop the bank A/B testing framework and test model quality. Coordinate with different functional teams to implement models and monitor outcomes. Develop processes and tools to monitor and analyse model performance and data accuracy. Conduct adequate researches, analysis and studies to leverage the necessary support and assistance to different departments and users. Develop, implement and maintain Data mining models. Support all Customer Strategies and initiatives by providing the insights for (Customer Intelligence – Marketing Optimization, Segmentation, Profiling, Loyalty, Retention, Profitability and Risk Management for Basel II requirements, Credit Scorecard, AML and Fraud Prevention). Participate in the mission of improving the data quality and EDW adoptionPerform detailed data analysis on complex business questions using different sources of information and provide written or verbal reports to internal users to drive business decision making and assess strategies performanceHelp internal users to set up analytical reports and dashboards that will meet their business requirementsParticipate in enhancing the adoption of Data mining initiatives in the BankProvide guidance and consultancy on using Analytical and Data mining toolsDeliver or participate in presentations on new products/services, ongoing process improvement efforts and/or operational initiativesCollaborate with Business Data Management team to adapt and improve processes and capabilities to meet business objectives including database development initiativesAssess and validate dataExamine overall customer behaviour and through analysis provide recommendations to improve the customer experienceParticipate in various stages of insight deployment related to customer communications, promotions, assortment and pricingProvide advice on campaign design, particularly the use of control groups and produce post-analysisProvide guidance on contact managementGuide use of Customer Insight database with business users through on-going communication and trainingParticipate in maintaining the contents of metadata dictionary as well as add new contributions to it. Help to develop meaningful metrics and targets, and measuring actual Bank’s resultsTrain stakeholders and other members of the team on how to effectively access and use the analytical reportsYour QualificationsPhD in Computer Science, Engineering, Applied Math, Biology, Physics or relevant quantitative science field with at least 2 years of experience in data analysis/ data science role or Master Degree with at least 6 years of relevant experience in data science roleArtificial Intelligence / Machine Learning professional CertificationPython / R / SAS Programming Language Certification2 years of Banking industry including knowledge CRM, marketing and strategy supportExperience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets. Experience working with and creating data architectures. Proven ability to drive business results with data-based insights. Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks. Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications. Excellent written and verbal communication skills for coordinating across teams. A drive to learn and master new technologies and techniques. Familiar with the following software/tools: Coding knowledge and experience with several languages: C, C++, Java, JavaScript, etc. Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc. Experience querying databases and using statistical computer languages: R, Python, SLQ, etc. Halian GroupWith over 20 years of experience, we have come to understand that innovation is the only way to provide agile, practical solutions that transform businesses and careers.Our resourcing and smart services help you to realize tomorrow’s potential. Discover the amazing things possible when you bring the right people and the right technologies together."
Data Scientist,Garima Interprises,Saudi Arabia,2023-06-02,Full-time,Entry level,"We are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.Data Scientist ResponsibilitiesHaving meetings with team members regarding projects.Collecting and interpreting data.Automating and integrating processes.Researching solutions to overcome data analytics challenges.Developing complex mathematical models that integrate business rules and requirements.Creating machine learning models.Communicating and meeting with engineers, IT teams, and other interested parties.Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.Other DetailsSalary-35,000/- to 75,000/-Required Experience-0 To 10Minimum Age-18Data Scientist RequirementsQualification Required-Diploma,Btech,M.tech,BCA,MCA,Bsc.IT,Msc.IT,A MSc or PhD degree in applied mathematics or statistics.0 To 10 years of industry experience also can applyWork Department-Data ScientistWork Industry-ITSkills-Excellent understanding of statistics, multivariable calculus, and linear algebra.for more clarification contact to this number-7042821861rvr.3053@gmail.comAlso Can work from HomeRegardsHR Placement TeamThis job is provided by Shine.com"
Data Scientist,Garima Interprises,Saudi Arabia,2023-05-11,Full-time,Entry level,"We are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.Data Scientist ResponsibilitiesHaving meetings with team members regarding projects.Collecting and interpreting data.Automating and integrating processes.Researching solutions to overcome data analytics challenges.Developing complex mathematical models that integrate business rules and requirements.Creating machine learning models.Communicating and meeting with engineers, IT teams, and other interested parties.Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.Other DetailsSalary-35,000/- to 75,000/-Required Experience-0 To 10Minimum Age-18Data Scientist RequirementsQualification Required-Diploma,Btech,M.tech,BCA,MCA,Bsc.IT,Msc.IT,A MSc or PhD degree in applied mathematics or statistics.0 To 10 years of industry experience also can applyWork Department-Data ScientistWork Industry-ITSkills-Excellent understanding of statistics, multivariable calculus, and linear algebra.for more clarification contact to this number- 8587035462rvr.3053@gmail.comAlso Can work from HomeRegardsHR Placement TeamThis job is provided by Shine.com"
Data Scientist Engineer,Energy Jobline,Saudi Arabia,2023-06-07,Full-time,Entry level,"Aramco energizes the world economy. Aramco occupies a unique position in the global energy industry. We are the world's largest producer of hydrocarbons (oil and gas), with the lowest upstream carbon intensity of any major producer.With our significant investment in technology and infrastructure, we strive to maximize the value of the energy we produce for the world along with a commitment to enhance Aramco’s value to society. Headquartered in the Kingdom of Saudi Arabia, and with offices around the world, we combine market discipline with a generations’ spanning view of the future, born of our nine decades experience as responsible stewards of the Kingdom’s vast hydrocarbon resources. This responsibility has driven us to deliver significant societal and economic benefits to not just the Kingdom, but also to a vast number of communities, economies, and countries that rely on the vital and reliable energy that we supply. We are one of the most profitable companies in the world, as well as amongst the top five global companies by market capitalization. Overview Gas Operations Technical Support Department is looking to hire a Data Scientist Engineer to work with Gas Operations Technical Support and Planning Department in order to support the development of IR4.0 and digital projects that are led by Digital Transformation Team. GOTS&PD is a department within the Gas Operations Admin area. The Data Scientist will report to the Leader of Digital Transformation Team and will work with other colleagues in IR4.0 and digital projects and should be experienced in all of its enabling fields, such as digitalization, modeling, machine learning, programing, prototyping, AR/VR, mobile development, and/or AI. Key Responsibilities You will be required to perform the following: Work in IR4.0 and digital projects and master all enabling fields such as digitalization, modeling, machine learning, programing, prototyping, AR/VR, mobile development, and/or AI Develop applications and software for Digital Transformation Team related projects Train team members and conduct knowledge sharing sessions regarding data science Work with engineers of different disciplines providing support to ensure the reliability of projects Minimum Requirements As a successful candidate, youShould have BS degree in science or engineering, MS or PhD is preferable should have a minimum of 15 years’, with a strong preference for 15 years’ plus, progressive professional experience including a minimum of 3 years working experience as a specialist with full responsibility for supervising major technical work, gaining recognition as a leading expert in IR4.0-enabling fields, such as digitalization, modeling, machine learning, programing, prototyping, AR/VR, mobile development, and/or AI in addition to an industry experience with a major technology developer and oil and gas operations background. You also must have patents and/or publications in any of these areas Are able to demonstrate the ability to effectively lead cross-functional research teams to successful project completion, effectively represent an organization in high-level interactions with strategic partners with excellent communications skills as well as credibility as a leader and effectively interact with all organizational functions, including senior leadership. You will also have sound knowledge and experience working in developing technologies for industrial environments, ideally in a large company with diverse operations and/or in oil and gas operations Working environmentOur high-performing employees are drawn by the challenging and rewarding professional, technical and industrial opportunities we offer, and are remunerated accordingly.At Aramco, our people work on truly world-scale projects, supported by investment in capital and technology that is second to none. And because, as a global energy company, we are faced with addressing some of the world’s biggest technical, logistical and environmental challenges, we invest heavily in talent development.We have a proud history of educating and training our workforce over many decades. Employees at all levels are encouraged to improve their sector-specific knowledge and competencies through our workforce development programs – one of the largest in the world."
Data Analyst / Data Scientist,nybl,Saudi Arabia,2023-05-05,Full-time,Entry level,"nybl is looking for our next generation of data scientists. We pride ourselves on growing our team and are always looking for the brightest talent to join us. Attitude is the most important trait we are looking for above all else. You will be working on transforming data into intelligence by developing innovative Artificial Intelligence (AI) solutions and integrating them with cutting-edge Internet of Things (IoT) technologies. Candidates must prove that they have the will, determination and ambition to be part of a team that's going to be the next Camel of the Middle East.Responsibilitieswork closely with nybl to identify issues and use data to propose solutions for effective decision makingbuild algorithms and design experiments to merge, manage, interrogate and extract data to supply tailored reports to colleagues, customers or the wider organisationuse machine learning tools and statistical techniques to produce solutions to problemstest data mining models to select the most appropriate ones for use on a projectmaintain clear and coherent communication, both verbal and written, to understand data needs and report resultscreate clear reports that tell compelling stories about how customers or clients work with the businessassess the effectiveness of data sources and data-gathering techniques and improve data collection methodshorizon scan to stay up to date with the latest technology, techniques and methodsconduct research from which you'll develop prototypes and proof of conceptsstay curious and enthusiastic about using algorithms to solve problems and enthuse others to see the benefit of your work.Required Skills, Abilities, Education, And ExperienceExperience and knowledge in statistical and data mining techniques using (e.g., python, R, SQL)Experience and knowledge in applying advance Machine Learning techniques (e.g., Neural networks, supervised and unsupervised ML, computer vision and image processing, text analysis)Experience and knowledge in big data analysis and management and distributed computing tools (e.g., Hadoop, Hive, Spark)Experience and knowledge in one or more programming languages (C, C#, Java)Experience and knowledge in web development frameworks (javascript, React, node.js).Experience analyzing data from 3rd party providers: (e.g., Google Analytics, Site Catalyst, Facebook Insights)Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.Experience working with and creating data architectures.Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.Excellent written and verbal communication skills for coordinating across teams.A drive to learn and master new technologies and techniques.Willingness to learn new technology.Able to work independently on researching solutions and applying findings.KSA Nationals are preferred for KSA based roles - if you are outside of KSA, please apply through our remote job listings."
Data Scientist,Niharika Enterprises,Saudi Arabia,2023-06-03,Full-time,Entry level,"We are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.Data Scientist ResponsibilitiesHaving meetings with team members regarding projects.Collecting and interpreting data.Automating and integrating processes.Researching solutions to overcome data analytics challenges.Developing complex mathematical models that integrate business rules and requirements.Creating machine learning models.Communicating and meeting with engineers, IT teams, and other interested parties.Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.Other DetailsSalary-35,000/- to 75,000/-Required Experience-0 To 10Minimum Age-18Data Scientist RequirementsQualification Required-Diploma,Btech,M.tech,BCA,MCA,Bsc.IT,Msc.IT,A MSc or PhD degree in applied mathematics or statistics.0 To 10 years of industry experience also can applyWork Department-Data ScientistWork Industry-ITSkills-Excellent understanding of statistics, multivariable calculus, and linear algebra.for more clarification contact to this number-6026813745nsh3053@gmail.coMAlso Can work from Home Regards HR Placement TeamThis job is provided by Shine.com"
Data Scientist,Garima Interprises,Saudi Arabia,2023-06-06,Full-time,Entry level,"We are looking to hire a highly creative data scientist to address data analytics challenges in our organization, to collect large volumes of data from varying sources, clean and interpret data, create solutions to overcome challenges, and communicate with interested parties.Data Scientist ResponsibilitiesHaving meetings with team members regarding projects.Collecting and interpreting data.Automating and integrating processes.Researching solutions to overcome data analytics challenges.Developing complex mathematical models that integrate business rules and requirements.Creating machine learning models.Communicating and meeting with engineers, IT teams, and other interested parties.Sharing complex ideas verbally and visually in an understandable manner with non-technical stakeholders.Other DetailsSalary-35,000/- to 75,000/-Required Experience-0 To 10Minimum Age-18Data Scientist RequirementsQualification Required-Diploma,Btech,M.tech,BCA,MCA,Bsc.IT,Msc.IT,A MSc or PhD degree in applied mathematics or statistics.0 To 10 years of industry experience also can applyWork Department-Data ScientistWork Industry-ITSkills-Excellent understanding of statistics, multivariable calculus, and linear algebra.for more clarification contact to this number- 8130960642rvr.3053@gmail.comAlso Can work from HomeRegardsHR Placement TeamThis job is provided by Shine.com"
Data Scientist,Armaco Chemical Processes Systems Pvt Ltd,Saudi Arabia,2023-05-02,Full-time,Entry level,"Job DescriptionDescription: Aramco energizes the world economy.Aramco occupies a unique position in the global energy industry. We are the world's largest producer of hydrocarbons (oil and gas), with the lowest upstream carbon intensity of any major producer.With our significant investment in technology and infrastructure, we strive to maximize the value of the energy we produce for the world along with a commitment to enhance Aramcos value to society.Headquartered in the Kingdom of Saudi Arabia, and with offices around the world, we combine market discipline with a generations spanning view of the future, born of our nine decades experience as responsible stewards of the Kingdoms vast hydrocarbon resources. This responsibility has driven us to deliver significant societal and economic benefits to not just the Kingdom, but also to a vast number of communities, economies, and countries that rely on the vital and reliable energy that we supply.We are one of the most profitable companies in the world, as well as amongst the top five global companies by market capitalization.OverviewDigital Transformation (DT) is responsible for providing AI-powered solutions to various business functions within Aramco. The solutions leverage the latest technological advancements of Artificial Intelligence (AI) and analytics to create business values across the value chain. The DT AI&A organization will be a center of excellence in Saudi Aramco for Artificial Intelligence technologies and data science.The data scientist primary role is to work closely with business functions, stakeholders, functional teams to give consultations on AI use case, identify potential value from data, formulate AI and data science ideas and conceptualize them. In addition, to building, evaluating and productionalizing models as appropriate.Duties & ResponsibilitiesWork with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutionsMine and analyze data from company data sources to drive optimization and improvement of product development, and business strategies.Assess the effectiveness and accuracy of new data sources and data gathering techniques.Develop custom data models and algorithms to apply to data sets.Use predictive modeling to increase and optimize production facilities, revenue generation, and other targeted outcomes.Develop A/B testing mechanisms and test model quality and validate hypothesis accordingly.Coordinate with different functional teams to implement models and monitor outcomes.Develop necessary documentation as per established standards.Minimum RequirementsAs the successful candidate you will hold a Masters degree in in data science, computer science, computer vision, applied mathematics or a related field from a recognized and approved program. A PhD degree is preferred.You must have at least 5 years of experience with hands-on data science, NLP, computer vision, and/or machine learning projects/products in industry.You must also be able to bring ideas from conceptualization to productionalization (putting models in production) using the right tools (e.g. mlflow, kubeflow, tensorlight, etc).Having very strong expertise in data collection, cleaning, preprocessing, and wrangling is a requirement.You must be fluent in either R or Python, preferably both, and familiarity with golang is a plus.Proficiency in visualization tools and packages; and in communicating data science topics to non-technical audience is a requirement.You must be experienced in Information Retrieval (Content Recommendation, Search Metrics, Search Query, document classification, entity recognition, topic modelling, etc).Proficiency in transfer learning and in fine tuning open-sourced models like BERT is necessary.Working environmentOur high-performing employees are drawn by the challenging and rewarding professional, technical and industrial opportunities we offer, and are remunerated accordingly.  Job Function: IT Software : Software Products & Services Industry: Manufacturing/Industrial, PetrochemicalsSpecialization:Software Engineer Qualification: Any Graduate Employment Type: Full Time"
Upstream Data Analytics Scientist,Energy Jobline,Saudi Arabia,2023-06-07,Full-time,Entry level,"Aramco energizes the world economy. Aramco occupies a unique position in the global energy industry. We are the world's largest producer of hydrocarbons (oil and gas), with the lowest upstream carbon intensity of any major producer.With our significant investment in technology and infrastructure, we strive to maximize the value of the energy we produce for the world along with a commitment to enhance Aramco’s value to society. Headquartered in the Kingdom of Saudi Arabia, and with offices around the world, we combine market discipline with a generations’ spanning view of the future, born of our nine decades experience as responsible stewards of the Kingdom’s vast hydrocarbon resources. This responsibility has driven us to deliver significant societal and economic benefits to not just the Kingdom, but also to a vast number of communities, economies, and countries that rely on the vital and reliable energy that we supply. We are one of the most profitable companies in the world, as well as amongst the top five global companies by market capitalization. Overview We are seeking a Data Analytics Scientist to join Reservoir Engineering Systems Division of Petroleum Engineering Applications Services Department. Reservoir Engineering Systems Division (RESD) supports various Petroleum Engineering departments within Upstream to provide advanced solutions that serve major upstream domains such as reserves assessment and reporting, business planning, formation evaluation, well delivery, and reservoir management.Key Responsibilities You Will Be Required To Perform The FollowingAs a Data Analytics Scientist working in RESD, you will be involved in developing various reservoir engineering business intelligence dashboards with advanced analytics and visualization capabilities. You will also be able to collect, organize and interpret statistical information to help customers utilize data insights and make informed decisions. In addition, you will implement state of the art data management life cycle and adopt latest artificial intelligence and machine learning technologies.Design and Implement smart business intelligence dashboards to visualize huge datasets from multiple data sourcesServe as point of reference for business intelligence packagesDevelop artificial intelligence solutions utilizing machine learning and advanced modeling Research and develop innovative solutions for Upstream supported organizations Ensure applications and business intelligence dashboards are implemented in accordance with governing models, data life cycle and security Align with business stakeholders to understand the needs and objectives to propose and implement solutions Mentor junior personnel and provide consultancy in business intelligence, machine learning and data science technologies Lead development projects to address challenges experienced by Aramco Upstream professionals File patents and present achievements at national and international eventsPublish technical findings in journal articles and at intra-company meetings Minimum Requirements As a successful candidate, you Should hold a Bachelor’s degree in Computer Science/Software Engineering or related fields Have at least 8 years in data analytics and data science technologies with two years in oil and gas industry developing data driven solutionsHave a solid data science experience focusing on upstream data and systems to recognize and identify patterns and anomaliesHave strong programming expertise using SQL, Python, R, Java, Shell Scripting, Statistical Packages, and Javascript Are adept in data processing platforms like Hadoop and Apache Spark Have strong knowledge with data visualization software like Spotfire, Tableau and Power BI Have strong mathematical skills to help collect, measure, organize and analyze data Working environmentOur high-performing employees are drawn by the challenging and rewarding professional, technical and industrial opportunities we offer, and are remunerated accordingly.At Aramco, our people work on truly world-scale projects, supported by investment in capital and technology that is second to none. And because, as a global energy company, we are faced with addressing some of the world’s biggest technical, logistical and environmental challenges, we invest heavily in talent development.We have a proud history of educating and training our workforce over many decades. Employees at all levels are encouraged to improve their sector-specific knowledge and competencies through our workforce development programs – one of the largest in the world."
