Skill,Type,Employment_type,Seniority_level,company_name,job_country,job_position,job_posting_date
crude oil,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
gas,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
crude oil,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
gas,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
gas,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
power generation,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
marketing,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
crude oilrochemical,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
human resources,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
finance,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
information technology,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
programming,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
ai,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
design,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
computing,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
design,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data models,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data analytics,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
databases,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data systems,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
reporting,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
environment,BUSINESS,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data science,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
computer science,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data science,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
r,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
sql,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
python,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
ai,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
data visualization,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
bi,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
tableau,TECHNOLOGY,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
mathematics,TECHNICAL,Full-time,Entry level,MatchaTalent,Saudi Arabia,Data Scientist,2023-06-18
statistics,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
financial services,BUSINESS,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
data science,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
strategy,SOFT,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
technical requirements,TECHNICAL,Full-time,Entry level,Halian,Saudi Arabia,Data Science Specialist,2023-05-16
